Name,Source,TF,CF,"Majestic BL","Majestic RD","Majestic Topics","Majestic Languages","Site Languages","Moz DA","Moz PA",Age,"SZ Redirects","SZ Parked","SZ Active History","SZ Score","SZ Drops","Google Index","SEM Traffic","SEM Rank","SEM Keywords","Out Links Internal","Out Links External","Out Domains External","Date Added",Price,Expires
opendx.org,SEO.Domains,19,17,2862,611,"Computers/Software/Operating Systems: 17
Science/Physics: 17
Science/Astronomy: 16
Computers/Internet/On the Web: 12
Business/Construction and Maintenance: 11
Recreation/Humor: 10
Computers/Software/Databases: 10
Science/Earth Sciences: 10
Science/Math: 10
Computers/Artificial Intelligence: 10","English: 87.3%
Russian: 4%
German: 2.1%
French: 1.3%
Japanese: 0.7%
Italian: 0.7%
Bulgarian: 0.6%
Chinese: 0.4%
Korean: 0.3%
Portuguese: 0.3%","English: 100%",40,40,26,0,6,23,4,1,1,0,0,0,0,1,1,12/06/2025,$8500,
1staboard.com,"DropCatch PreRelease",16,16,227,48,"Recreation/Boating: 15
Recreation/Motorcycles: 12
Home/Homemaking: 11
Recreation/Autos: 9
Recreation/Travel: 8","English: 99.5%
Norwegian: 0.4%","English: 100%",22,29,22,8,0,20,4,1,0,0,0,0,0,2,1,12/21/2025,$13,"12/22/2025 21:18:36"
punres.org,"DropCatch Private Seller",22,24,1710,265,"Computers/Programming/Languages: 22
Shopping/Consumer Electronics: 9","English: 38.1%
French: 25.7%
Polish: 22%
Russian: 5.1%
Chinese: 4.4%
Japanese: 1%
Czech: 0.7%
German: 0.7%
Spanish: 0.5%
Kurdish: 0.2%","English: 100%",32,38,19,34,0,17,5,1,1,0,0,0,0,1,1,12/16/2025,$59,"12/22/2025 21:18:56"
vendomegrp.com,"GoDaddy Auctions",13,17,307,188,"Reference/Journals: 13
Science/Biology: 11
Computers/Programming/Languages: 10
Science/Software: 9
Business/Construction and Maintenance: 8
Business/Industrial Goods and Services: 6","English: 92.8%
German: 6.5%
Chinese: 0.5%","English: 91.6%
Indonesian: 8.3%",32,31,21,30,0,19,5,0,0,0,0,0,0,13,2,12/19/2025,$1,"12/29/2025 20:12:00"
wift.org,"Namesilo Auctions",21,17,1861,201,"Arts/Movies: 21
Arts/Television: 12
Arts/Music: 11
Arts/Animation: 10","English: 88.7%
Polish: 8.7%
Swedish: 1.9%
Japanese: 0.2%
Spanish: 0.2%","English: 50%
French: 50%",32,26,23,26,1,21,7,1,1,0,0,0,0,1,1,12/21/2025,,"12/26/2025 07:00:00"
worldwewant2015.org,SEO.Domains,14,20,3970,630,"Society/Ethnicity: 13
Society: 11
Society/Lifestyle Choices: 11
Society/Issues: 11
Society/People: 9
Society/Organizations: 8
Society/Relationships: 8
Society/Religion and Spirituality: 8
Society/Philanthropy: 7
Regional/Asia: 7","English: 68.7%
French: 13.7%
Spanish: 4%
German: 1.8%
Ukrainian: 1.5%
Portuguese: 1.4%
Romanian: 0.8%
Italian: 0.8%
Dutch: 0.7%
Chinese: 0.6%","English: 100%",51,42,13,219,0,11,8,0,1,0,0,0,0,1,1,11/10/2025,$32000,
icebird.org,Atom,23,16,335,167,"Computers/Systems: 23
Computers/Multimedia: 11","English: 89.2%
German: 10.7%","English: 100%",12,28,25,14,0,23,8,1,1,0,38181997,1,3,1,1,11/18/2025,$495,
bikerhut.com,Atom,12,15,157,141,"Recreation/Motorcycles: 12
Recreation/Pets: 5","English: 99.1%
German: 0.8%","English: 100%",16,27,25,10,0,23,8,0,2,0,0,0,0,0,0,12/06/2025,$599,
mtshastaphotos.org,"Namecheap Auctions",11,13,36,25,"Society/Death: 11","English: 93.1%
Arabic: 6.8%","English: 100%",14,23,24,24,0,21,8,1,1,0,0,0,16,0,0,12/14/2025,$15,"12/28/2025 13:00:00"
landerchildrensmuseum.org,"GoDaddy Auctions",23,17,145,39,"Arts: 23
Science/Technology: 11","English: 99.4%
Spanish: 0.5%","English: 100%",20,27,20,27,0,18,8,1,0,0,0,0,18,0,0,12/15/2025,$1,"12/26/2025 16:58:00"
