Name,Source,TF,CF,"Majestic BL","Majestic RD","Majestic Topics","Majestic Languages","Site Languages","Moz DA","Moz PA",Age,"SZ Redirects","SZ Parked","SZ Active History","SZ Score","SZ Drops","Google Index","SEM Traffic","SEM Rank","SEM Keywords","Out Links Internal","Out Links External","Out Domains External","Date Added",Price,Expires
opendx.org,SEO.Domains,19,17,2862,611,"Computers/Software/Operating Systems: 17
Science/Physics: 17
Science/Astronomy: 16
Computers/Internet/On the Web: 12
Business/Construction and Maintenance: 11
Recreation/Humor: 10
Computers/Software/Databases: 10
Science/Earth Sciences: 10
Science/Math: 10
Computers/Artificial Intelligence: 10","English: 87.3%
Russian: 4%
German: 2.1%
French: 1.3%
Japanese: 0.7%
Italian: 0.7%
Bulgarian: 0.6%
Chinese: 0.4%
Korean: 0.3%
Portuguese: 0.3%","English: 100%",40,40,26,0,6,23,4,1,1,0,0,0,0,1,1,12/06/2025,$8500,
1staboard.com,"DropCatch PreRelease",16,16,227,48,"Recreation/Boating: 15
Recreation/Motorcycles: 12
Home/Homemaking: 11
Recreation/Autos: 9
Recreation/Travel: 8","English: 99.5%
Norwegian: 0.4%","English: 100%",22,29,22,8,0,20,4,1,0,0,0,0,0,2,1,12/21/2025,$13,"12/22/2025 21:18:36"
worldwewant2015.org,SEO.Domains,14,20,3970,630,"Society/Ethnicity: 13
Society: 11
Society/Lifestyle Choices: 11
Society/Issues: 11
Society/People: 9
Society/Organizations: 8
Society/Relationships: 8
Society/Religion and Spirituality: 8
Society/Philanthropy: 7
Regional/Asia: 7","English: 68.7%
French: 13.7%
Spanish: 4%
German: 1.8%
Ukrainian: 1.5%
Portuguese: 1.4%
Romanian: 0.8%
Italian: 0.8%
Dutch: 0.7%
Chinese: 0.6%","English: 100%",51,42,13,219,0,11,8,0,1,0,0,0,0,1,1,11/10/2025,$32000,
icebird.org,Atom,23,16,335,167,"Computers/Systems: 23
Computers/Multimedia: 11","English: 89.2%
German: 10.7%","English: 100%",12,28,25,14,0,23,8,1,1,0,38181997,1,3,1,1,11/18/2025,$495,
bikerhut.com,Atom,12,15,157,141,"Recreation/Motorcycles: 12
Recreation/Pets: 5","English: 99.1%
German: 0.8%","English: 100%",16,27,25,10,0,23,8,0,2,0,0,0,0,0,0,12/06/2025,$599,
footprintexhibits.com,"Namejet PreRelease",21,15,156,32,"Business: 21","English: 100%","English: 100%",15,32,21,40,0,18,8,0,1,0,0,0,0,0,0,12/21/2025,$29,"12/23/2025 20:00:00"
debrajofondren.com,"Namejet PreRelease",9,21,448,396,"Sports/Soccer: 9
Sports/Organizations: 8
Sports/Running: 7","English: 100%","English: 100%",19,25,21,0,0,18,9,0,1,0,22459292,3,1,0,0,12/17/2025,$59,"12/22/2025 19:00:00"
access-commerce.com,"Dynadot Expired",13,16,302,165,"Computers/Software/Software Engineering: 13
Computers/Internet: 10
Computers/Software/Configuration Management: 8","English: 51.6%
French: 38.7%
Spanish: 6.4%
Russian: 3.2%","English: 100%",25,23,26,93,4,23,10,1,1,0,0,0,0,4,1,12/15/2025,$7.99,"12/22/2025 19:06:35"
musicimprint.com,"Gname Buy It Now",8,15,252,157,"Society/Politics: 8
Society/Issues: 4
Society/History: 4
News/Weblogs: 4","English: 98.5%
German: 1.4%","English: 100%",18,29,14,5,0,12,12,1,0,0,0,0,0,1,1,12/21/2025,$288,
centralpark-newyorkcity.com,"GoDaddy Closeouts",21,22,217,144,"Sports/Cycling: 21
Shopping/Jewelry: 9","English: 100%","English: 100%",15,26,11,10,0,9,12,1,1,0,0,0,3,0,0,12/18/2025,$11,"12/23/2025 18:05:00"
