Name,Source,TF,CF,"Majestic BL","Majestic RD","Majestic Topics","Majestic Languages","Site Languages","Moz DA","Moz PA",Age,"SZ Redirects","SZ Parked","SZ Active History","SZ Score","SZ Drops","Google Index","SEM Traffic","SEM Rank","SEM Keywords","Out Links Internal","Out Links External","Out Domains External","Date Added",Price,Expires
buildingonabudget.com,"GoDaddy Closeouts",14,25,5700,90,"Shopping/Classifieds: 13
Recreation/Travel: 11
News/Media Industry: 11
News/Newspapers: 11
Regional/Europe: 7","English: 99.9%","English: 100%",29,33,17,6,0,13,20,1,1,0,0,0,0,0,0,12/20/2025,$40,"12/25/2025 19:40:00"
xtendui.com,"Pending Delete",7,23,198,83,"Computers/Internet/Web Design and Development: 7
Regional/Middle East: 4
Computers/Programming/Resources: 3
Computers/Programming/Languages: 3","English: 81.8%
Japanese: 9.3%
Chinese: 4.6%
Korean: 2.3%
Arabic: 0.5%
French: 0.5%
Italian: 0.5%","English: 100%",17,33,4,5,0,4,20,2,114,0,25093006,2,0,1,1,12/20/2025,,"12/24/2025 17:45:00"
obiesbbq.com,"Pending Delete",5,14,29,21,"Recreation/Motorcycles: 5
Recreation/Food: 4
Arts/Radio: 3
Society/History: 3","English: 88.4%
Arabic: 7.6%
Japanese: 3.8%","English: 100%",23,24,13,6,0,11,20,1,,0,32773046,1,0,1,1,12/19/2025,,"12/23/2025 17:45:00"
vsat-shop.com,"Dynadot Expired",6,14,280,59,"Computers/Internet/E-mail: 6
Regional/North America: 5
Society/Disabled: 5
World/Nederlands: 4
Society/Politics: 4
Recreation/Travel: 3
Regional/Europe: 3","English: 96.7%
Dutch: 2.8%
Polish: 0.3%","English: 100%",12,30,6,13,0,6,20,0,,0,0,0,0,4,1,12/18/2025,$7.99,"12/25/2025 20:31:44"
onlinedietreview.com,"Expired Domains - Register Now!",9,14,51,39,"Business/Construction and Maintenance: 9
Arts/Education: 6","English: 97.6%
Spanish: 2.3%","English: 100%",12,24,18,7,0,14,20,7,0,0,0,0,17,0,0,12/17/2025,,"12/21/2025 17:45:00"
aakrishagoldpalace.com,"Expired Domains - Register Now!",6,18,3066,50,"Science/Social Sciences: 6
Computers/Graphics: 3
Arts/Digital: 3
Computers/Internet/Searching: 2
Arts/Performing Arts: 2","English: 95.4%
Danish: 3.4%
Tagalog: 1.1%","English: 100%",10,32,3,0,0,3,20,2,1,0,0,0,0,2,1,12/13/2025,,"12/17/2025 17:45:00"
craftcentralstation.com,"Expired Domains - Register Now!",7,17,308,161,"Shopping/Crafts: 7","English: 97.3%
French: 1.3%
Persian: 1.3%","English: 100%",17,29,26,41,1,17,20,2,0,0,0,0,0,1,0,12/09/2025,,"12/13/2025 17:45:00"
secondlovedating.net,"Expired Domains - Register Now!",7,14,37,32,"Arts/Movies: 6
Computers/Internet/Web Design and Development: 6
Regional/Europe: 5
Computers/Mobile Computing: 5
Business/Automotive: 5
Sports/Soccer: 5
Society/Work: 5
Business/Construction and Maintenance: 5
Arts/Literature: 5
Recreation/Travel: 4","English: 70.5%
Dutch: 20.5%
Hungarian: 2.5%
Thai: 2.5%
Azerbaijani: 1.2%
Polish: 1.2%
Turkish: 1.2%","English: 100%",13,29,9,14,0,7,20,4,0,0,21881582,4,20,3,3,12/08/2025,,"12/12/2025 17:45:00"
lucyandcoboutique.com,"Expired Domains - Register Now!",7,14,48,30,"Computers/Internet/Searching: 7
Computers/Internet/Abuse: 6
Society/Government: 3","English: 100%","English: 100%",12,35,8,4,0,8,20,2,0,0,0,0,0,2,0,11/26/2025,,"11/30/2025 17:45:00"
theimbreport.com,SEO.Domains,8,15,246,151,"Business/Financial Services: 8
Society/Issues: 6
Society/Politics: 4","English: 99.7%
Italian: 0.2%","English: 100%",29,31,16,5,0,12,20,1,1,0,0,0,0,1,1,11/10/2025,$1500,
consciouspanda.com,SEO.Domains,24,42,2195,234,"Society/Issues: 22
Regional/Europe: 21","English: 16.2%
German: 15.7%
Arabic: 5.2%
Spanish: 5.2%
Danish: 5.2%
Dutch: 5.2%
Finnish: 5.2%
Italian: 5.2%
Japanese: 5.2%
Norwegian: 5.2%","English: 100%",27,37,9,23,0,9,20,4,251,0,0,0,9,7,7,12/06/2025,$2200,
mgnetwork.net,SEO.Domains,7,14,280,183,"Science/Social Sciences: 7","English: 80.3%
Indonesian: 12.5%
Arabic: 1.7%
Croatian: 0.8%
Italian: 0.8%
Portuguese: 0.8%
Russian: 0.8%
Spanish: 0.8%
Thai: 0.8%","English: 100%",29,25,11,2,4,11,20,6,115,0,0,0,9,0,0,12/06/2025,$400,
openingspace.net,SEO.Domains,12,18,1694,56,"Computers/Software/Groupware: 12
Business/Business Services: 5","English: 94.4%
Italian: 2.2%
Thai: 1.8%
Spanish: 0.6%
Japanese: 0.1%
French: 0.1%
Russian: 0.1%
Swedish: 0.1%","English: 100%",30,29,22,28,0,22,20,2,1,0,0,0,0,1,1,11/10/2025,$850,
paulandlizdavies.com,SEO.Domains,8,36,293,156,"Arts/Performing Arts: 8
Society/Organizations: 6
Society/Military: 5
Recreation/Travel: 5
Computers/Software/Desktop Customization: 5
Recreation/Motorcycles: 5
Computers/Programming/Languages: 5
Regional/Middle East: 4
Society/Politics: 4
Business/Employment: 4","English: 77%
French: 18.7%
Russian: 2%
Ukrainian: 2%","English: 100%",27,24,14,12,0,13,20,2,0,0,0,0,1,0,0,11/10/2025,$500,
